profileID,respID,qID,altID,obsID,type,price,freshness,image
23,1,1,1,1,Honeycrisp,3,Excellent,honeycrisp.jpg
67,1,1,2,1,Gala,4,Average,gala.jpg
9,1,1,3,1,Pink Lady,1.5,Excellent,pinkLady.jpg
61,1,2,1,2,Fuji,3.5,Average,fuji.jpg
39,1,2,2,2,Pink Lady,1,Average,pinkLady.jpg
94,1,2,3,2,Pink Lady,3,Poor,pinkLady.jpg
31,1,3,1,3,Fuji,4,Excellent,fuji.jpg
94,1,3,2,3,Pink Lady,3,Poor,pinkLady.jpg
73,1,3,3,3,Honeycrisp,1,Poor,honeycrisp.jpg
36,1,4,1,4,Fuji,1,Average,fuji.jpg
98,1,4,2,4,Honeycrisp,3.5,Poor,honeycrisp.jpg
22,1,4,3,4,Gala,3,Excellent,gala.jpg
44,1,5,1,5,Pink Lady,1.5,Average,pinkLady.jpg
41,1,5,2,5,Fuji,1.5,Average,fuji.jpg
92,1,5,3,5,Gala,3,Poor,gala.jpg
93,1,6,1,6,Honeycrisp,3,Poor,honeycrisp.jpg
43,1,6,2,6,Honeycrisp,1.5,Average,honeycrisp.jpg
39,1,6,3,6,Pink Lady,1,Average,pinkLady.jpg
37,1,7,1,7,Gala,1,Average,gala.jpg
33,1,7,2,7,Honeycrisp,4,Excellent,honeycrisp.jpg
83,1,7,3,7,Honeycrisp,2,Poor,honeycrisp.jpg
12,1,8,1,8,Gala,2,Excellent,gala.jpg
98,1,8,2,8,Honeycrisp,3.5,Poor,honeycrisp.jpg
21,1,8,3,8,Fuji,3,Excellent,fuji.jpg
81,2,1,1,9,Fuji,2,Poor,fuji.jpg
76,2,1,2,9,Fuji,1.5,Poor,fuji.jpg
94,2,1,3,9,Pink Lady,3,Poor,pinkLady.jpg
35,2,2,1,10,Red Delicious,4,Excellent,redDelicious.jpg
30,2,2,2,10,Red Delicious,3.5,Excellent,redDelicious.jpg
89,2,2,3,10,Pink Lady,2.5,Poor,pinkLady.jpg
50,2,3,1,11,Red Delicious,2,Average,redDelicious.jpg
47,2,3,2,11,Gala,2,Average,gala.jpg
67,2,3,3,11,Gala,4,Average,gala.jpg
82,2,4,1,12,Gala,2,Poor,gala.jpg
96,2,4,2,12,Fuji,3.5,Poor,fuji.jpg
81,2,4,3,12,Fuji,2,Poor,fuji.jpg
102,2,5,1,13,Gala,4,Poor,gala.jpg
42,2,5,2,13,Gala,1.5,Average,gala.jpg
40,2,5,3,13,Red Delicious,1,Average,redDelicious.jpg
42,2,6,1,14,Gala,1.5,Average,gala.jpg
96,2,6,2,14,Fuji,3.5,Poor,fuji.jpg
26,2,6,3,14,Fuji,3.5,Excellent,fuji.jpg
13,2,7,1,15,Honeycrisp,2,Excellent,honeycrisp.jpg
20,2,7,2,15,Red Delicious,2.5,Excellent,redDelicious.jpg
102,2,7,3,15,Gala,4,Poor,gala.jpg
20,2,8,1,16,Red Delicious,2.5,Excellent,redDelicious.jpg
93,2,8,2,16,Honeycrisp,3,Poor,honeycrisp.jpg
84,2,8,3,16,Pink Lady,2,Poor,pinkLady.jpg
94,3,1,1,17,Pink Lady,3,Poor,pinkLady.jpg
41,3,1,2,17,Fuji,1.5,Average,fuji.jpg
8,3,1,3,17,Honeycrisp,1.5,Excellent,honeycrisp.jpg
39,3,2,1,18,Pink Lady,1,Average,pinkLady.jpg
74,3,2,2,18,Pink Lady,1,Poor,pinkLady.jpg
81,3,2,3,18,Fuji,2,Poor,fuji.jpg
63,3,3,1,19,Honeycrisp,3.5,Average,honeycrisp.jpg
82,3,3,2,19,Gala,2,Poor,gala.jpg
104,3,3,3,19,Pink Lady,4,Poor,pinkLady.jpg
11,3,4,1,20,Fuji,2,Excellent,fuji.jpg
2,3,4,2,20,Gala,1,Excellent,gala.jpg
19,3,4,3,20,Pink Lady,2.5,Excellent,pinkLady.jpg
77,3,5,1,21,Gala,1.5,Poor,gala.jpg
13,3,5,2,21,Honeycrisp,2,Excellent,honeycrisp.jpg
31,3,5,3,21,Fuji,4,Excellent,fuji.jpg
30,3,6,1,22,Red Delicious,3.5,Excellent,redDelicious.jpg
22,3,6,2,22,Gala,3,Excellent,gala.jpg
94,3,6,3,22,Pink Lady,3,Poor,pinkLady.jpg
74,3,7,1,23,Pink Lady,1,Poor,pinkLady.jpg
16,3,7,2,23,Fuji,2.5,Excellent,fuji.jpg
69,3,7,3,23,Pink Lady,4,Average,pinkLady.jpg
36,3,8,1,24,Fuji,1,Average,fuji.jpg
50,3,8,2,24,Red Delicious,2,Average,redDelicious.jpg
33,3,8,3,24,Honeycrisp,4,Excellent,honeycrisp.jpg
80,4,1,1,25,Red Delicious,1.5,Poor,redDelicious.jpg
28,4,1,2,25,Honeycrisp,3.5,Excellent,honeycrisp.jpg
49,4,1,3,25,Pink Lady,2,Average,pinkLady.jpg
12,4,2,1,26,Gala,2,Excellent,gala.jpg
53,4,2,2,26,Honeycrisp,2.5,Average,honeycrisp.jpg
28,4,2,3,26,Honeycrisp,3.5,Excellent,honeycrisp.jpg
66,4,3,1,27,Fuji,4,Average,fuji.jpg
50,4,3,2,27,Red Delicious,2,Average,redDelicious.jpg
76,4,3,3,27,Fuji,1.5,Poor,fuji.jpg
47,4,4,1,28,Gala,2,Average,gala.jpg
51,4,4,2,28,Fuji,2.5,Average,fuji.jpg
6,4,4,3,28,Fuji,1.5,Excellent,fuji.jpg
80,4,5,1,29,Red Delicious,1.5,Poor,redDelicious.jpg
15,4,5,2,29,Red Delicious,2,Excellent,redDelicious.jpg
19,4,5,3,29,Pink Lady,2.5,Excellent,pinkLady.jpg
59,4,6,1,30,Pink Lady,3,Average,pinkLady.jpg
3,4,6,2,30,Honeycrisp,1,Excellent,honeycrisp.jpg
97,4,6,3,30,Gala,3.5,Poor,gala.jpg
33,4,7,1,31,Honeycrisp,4,Excellent,honeycrisp.jpg
48,4,7,2,31,Honeycrisp,2,Average,honeycrisp.jpg
75,4,7,3,31,Red Delicious,1,Poor,redDelicious.jpg
100,4,8,1,32,Red Delicious,3.5,Poor,redDelicious.jpg
45,4,8,2,32,Red Delicious,1.5,Average,redDelicious.jpg
10,4,8,3,32,Red Delicious,1.5,Excellent,redDelicious.jpg
42,5,1,1,33,Gala,1.5,Average,gala.jpg
24,5,1,2,33,Pink Lady,3,Excellent,pinkLady.jpg
92,5,1,3,33,Gala,3,Poor,gala.jpg
103,5,2,1,34,Honeycrisp,4,Poor,honeycrisp.jpg
18,5,2,2,34,Honeycrisp,2.5,Excellent,honeycrisp.jpg
81,5,2,3,34,Fuji,2,Poor,fuji.jpg
84,5,3,1,35,Pink Lady,2,Poor,pinkLady.jpg
59,5,3,2,35,Pink Lady,3,Average,pinkLady.jpg
9,5,3,3,35,Pink Lady,1.5,Excellent,pinkLady.jpg
53,5,4,1,36,Honeycrisp,2.5,Average,honeycrisp.jpg
11,5,4,2,36,Fuji,2,Excellent,fuji.jpg
8,5,4,3,36,Honeycrisp,1.5,Excellent,honeycrisp.jpg
5,5,5,1,37,Red Delicious,1,Excellent,redDelicious.jpg
29,5,5,2,37,Pink Lady,3.5,Excellent,pinkLady.jpg
50,5,5,3,37,Red Delicious,2,Average,redDelicious.jpg
70,5,6,1,38,Red Delicious,4,Average,redDelicious.jpg
74,5,6,2,38,Pink Lady,1,Poor,pinkLady.jpg
26,5,6,3,38,Fuji,3.5,Excellent,fuji.jpg
73,5,7,1,39,Honeycrisp,1,Poor,honeycrisp.jpg
11,5,7,2,39,Fuji,2,Excellent,fuji.jpg
6,5,7,3,39,Fuji,1.5,Excellent,fuji.jpg
96,5,8,1,40,Fuji,3.5,Poor,fuji.jpg
76,5,8,2,40,Fuji,1.5,Poor,fuji.jpg
83,5,8,3,40,Honeycrisp,2,Poor,honeycrisp.jpg
91,6,1,1,41,Fuji,3,Poor,fuji.jpg
56,6,1,2,41,Fuji,3,Average,fuji.jpg
96,6,1,3,41,Fuji,3.5,Poor,fuji.jpg
27,6,2,1,42,Gala,3.5,Excellent,gala.jpg
94,6,2,2,42,Pink Lady,3,Poor,pinkLady.jpg
68,6,2,3,42,Honeycrisp,4,Average,honeycrisp.jpg
88,6,3,1,43,Honeycrisp,2.5,Poor,honeycrisp.jpg
28,6,3,2,43,Honeycrisp,3.5,Excellent,honeycrisp.jpg
67,6,3,3,43,Gala,4,Average,gala.jpg
40,6,4,1,44,Red Delicious,1,Average,redDelicious.jpg
6,6,4,2,44,Fuji,1.5,Excellent,fuji.jpg
36,6,4,3,44,Fuji,1,Average,fuji.jpg
55,6,5,1,45,Red Delicious,2.5,Average,redDelicious.jpg
94,6,5,2,45,Pink Lady,3,Poor,pinkLady.jpg
48,6,5,3,45,Honeycrisp,2,Average,honeycrisp.jpg
10,6,6,1,46,Red Delicious,1.5,Excellent,redDelicious.jpg
25,6,6,2,46,Red Delicious,3,Excellent,redDelicious.jpg
38,6,6,3,46,Honeycrisp,1,Average,honeycrisp.jpg
100,6,7,1,47,Red Delicious,3.5,Poor,redDelicious.jpg
105,6,7,2,47,Red Delicious,4,Poor,redDelicious.jpg
25,6,7,3,47,Red Delicious,3,Excellent,redDelicious.jpg
4,6,8,1,48,Pink Lady,1,Excellent,pinkLady.jpg
79,6,8,2,48,Pink Lady,1.5,Poor,pinkLady.jpg
52,6,8,3,48,Gala,2.5,Average,gala.jpg
22,7,1,1,49,Gala,3,Excellent,gala.jpg
24,7,1,2,49,Pink Lady,3,Excellent,pinkLady.jpg
39,7,1,3,49,Pink Lady,1,Average,pinkLady.jpg
47,7,2,1,50,Gala,2,Average,gala.jpg
60,7,2,2,50,Red Delicious,3,Average,redDelicious.jpg
63,7,2,3,50,Honeycrisp,3.5,Average,honeycrisp.jpg
37,7,3,1,51,Gala,1,Average,gala.jpg
46,7,3,2,51,Fuji,2,Average,fuji.jpg
54,7,3,3,51,Pink Lady,2.5,Average,pinkLady.jpg
47,7,4,1,52,Gala,2,Average,gala.jpg
79,7,4,2,52,Pink Lady,1.5,Poor,pinkLady.jpg
16,7,4,3,52,Fuji,2.5,Excellent,fuji.jpg
19,7,5,1,53,Pink Lady,2.5,Excellent,pinkLady.jpg
72,7,5,2,53,Gala,1,Poor,gala.jpg
31,7,5,3,53,Fuji,4,Excellent,fuji.jpg
37,7,6,1,54,Gala,1,Average,gala.jpg
103,7,6,2,54,Honeycrisp,4,Poor,honeycrisp.jpg
48,7,6,3,54,Honeycrisp,2,Average,honeycrisp.jpg
60,7,7,1,55,Red Delicious,3,Average,redDelicious.jpg
62,7,7,2,55,Gala,3.5,Average,gala.jpg
80,7,7,3,55,Red Delicious,1.5,Poor,redDelicious.jpg
9,7,8,1,56,Pink Lady,1.5,Excellent,pinkLady.jpg
11,7,8,2,56,Fuji,2,Excellent,fuji.jpg
43,7,8,3,56,Honeycrisp,1.5,Average,honeycrisp.jpg
30,8,1,1,57,Red Delicious,3.5,Excellent,redDelicious.jpg
61,8,1,2,57,Fuji,3.5,Average,fuji.jpg
74,8,1,3,57,Pink Lady,1,Poor,pinkLady.jpg
55,8,2,1,58,Red Delicious,2.5,Average,redDelicious.jpg
61,8,2,2,58,Fuji,3.5,Average,fuji.jpg
34,8,2,3,58,Pink Lady,4,Excellent,pinkLady.jpg
57,8,3,1,59,Gala,3,Average,gala.jpg
38,8,3,2,59,Honeycrisp,1,Average,honeycrisp.jpg
84,8,3,3,59,Pink Lady,2,Poor,pinkLady.jpg
63,8,4,1,60,Honeycrisp,3.5,Average,honeycrisp.jpg
46,8,4,2,60,Fuji,2,Average,fuji.jpg
78,8,4,3,60,Honeycrisp,1.5,Poor,honeycrisp.jpg
70,8,5,1,61,Red Delicious,4,Average,redDelicious.jpg
18,8,5,2,61,Honeycrisp,2.5,Excellent,honeycrisp.jpg
2,8,5,3,61,Gala,1,Excellent,gala.jpg
72,8,6,1,62,Gala,1,Poor,gala.jpg
75,8,6,2,62,Red Delicious,1,Poor,redDelicious.jpg
21,8,6,3,62,Fuji,3,Excellent,fuji.jpg
57,8,7,1,63,Gala,3,Average,gala.jpg
71,8,7,2,63,Fuji,1,Poor,fuji.jpg
87,8,7,3,63,Gala,2.5,Poor,gala.jpg
72,8,8,1,64,Gala,1,Poor,gala.jpg
59,8,8,2,64,Pink Lady,3,Average,pinkLady.jpg
74,8,8,3,64,Pink Lady,1,Poor,pinkLady.jpg
37,9,1,1,65,Gala,1,Average,gala.jpg
81,9,1,2,65,Fuji,2,Poor,fuji.jpg
55,9,1,3,65,Red Delicious,2.5,Average,redDelicious.jpg
20,9,2,1,66,Red Delicious,2.5,Excellent,redDelicious.jpg
25,9,2,2,66,Red Delicious,3,Excellent,redDelicious.jpg
6,9,2,3,66,Fuji,1.5,Excellent,fuji.jpg
28,9,3,1,67,Honeycrisp,3.5,Excellent,honeycrisp.jpg
32,9,3,2,67,Gala,4,Excellent,gala.jpg
49,9,3,3,67,Pink Lady,2,Average,pinkLady.jpg
99,9,4,1,68,Pink Lady,3.5,Poor,pinkLady.jpg
92,9,4,2,68,Gala,3,Poor,gala.jpg
84,9,4,3,68,Pink Lady,2,Poor,pinkLady.jpg
65,9,5,1,69,Red Delicious,3.5,Average,redDelicious.jpg
69,9,5,2,69,Pink Lady,4,Average,pinkLady.jpg
75,9,5,3,69,Red Delicious,1,Poor,redDelicious.jpg
47,9,6,1,70,Gala,2,Average,gala.jpg
20,9,6,2,70,Red Delicious,2.5,Excellent,redDelicious.jpg
2,9,6,3,70,Gala,1,Excellent,gala.jpg
73,9,7,1,71,Honeycrisp,1,Poor,honeycrisp.jpg
68,9,7,2,71,Honeycrisp,4,Average,honeycrisp.jpg
93,9,7,3,71,Honeycrisp,3,Poor,honeycrisp.jpg
10,9,8,1,72,Red Delicious,1.5,Excellent,redDelicious.jpg
59,9,8,2,72,Pink Lady,3,Average,pinkLady.jpg
49,9,8,3,72,Pink Lady,2,Average,pinkLady.jpg
7,10,1,1,73,Gala,1.5,Excellent,gala.jpg
61,10,1,2,73,Fuji,3.5,Average,fuji.jpg
38,10,1,3,73,Honeycrisp,1,Average,honeycrisp.jpg
36,10,2,1,74,Fuji,1,Average,fuji.jpg
23,10,2,2,74,Honeycrisp,3,Excellent,honeycrisp.jpg
34,10,2,3,74,Pink Lady,4,Excellent,pinkLady.jpg
88,10,3,1,75,Honeycrisp,2.5,Poor,honeycrisp.jpg
4,10,3,2,75,Pink Lady,1,Excellent,pinkLady.jpg
54,10,3,3,75,Pink Lady,2.5,Average,pinkLady.jpg
29,10,4,1,76,Pink Lady,3.5,Excellent,pinkLady.jpg
58,10,4,2,76,Honeycrisp,3,Average,honeycrisp.jpg
87,10,4,3,76,Gala,2.5,Poor,gala.jpg
75,10,5,1,77,Red Delicious,1,Poor,redDelicious.jpg
97,10,5,2,77,Gala,3.5,Poor,gala.jpg
56,10,5,3,77,Fuji,3,Average,fuji.jpg
51,10,6,1,78,Fuji,2.5,Average,fuji.jpg
50,10,6,2,78,Red Delicious,2,Average,redDelicious.jpg
48,10,6,3,78,Honeycrisp,2,Average,honeycrisp.jpg
3,10,7,1,79,Honeycrisp,1,Excellent,honeycrisp.jpg
33,10,7,2,79,Honeycrisp,4,Excellent,honeycrisp.jpg
94,10,7,3,79,Pink Lady,3,Poor,pinkLady.jpg
34,10,8,1,80,Pink Lady,4,Excellent,pinkLady.jpg
66,10,8,2,80,Fuji,4,Average,fuji.jpg
64,10,8,3,80,Pink Lady,3.5,Average,pinkLady.jpg
40,11,1,1,81,Red Delicious,1,Average,redDelicious.jpg
58,11,1,2,81,Honeycrisp,3,Average,honeycrisp.jpg
20,11,1,3,81,Red Delicious,2.5,Excellent,redDelicious.jpg
78,11,2,1,82,Honeycrisp,1.5,Poor,honeycrisp.jpg
25,11,2,2,82,Red Delicious,3,Excellent,redDelicious.jpg
71,11,2,3,82,Fuji,1,Poor,fuji.jpg
40,11,3,1,83,Red Delicious,1,Average,redDelicious.jpg
61,11,3,2,83,Fuji,3.5,Average,fuji.jpg
99,11,3,3,83,Pink Lady,3.5,Poor,pinkLady.jpg
95,11,4,1,84,Red Delicious,3,Poor,redDelicious.jpg
22,11,4,2,84,Gala,3,Excellent,gala.jpg
80,11,4,3,84,Red Delicious,1.5,Poor,redDelicious.jpg
86,11,5,1,85,Fuji,2.5,Poor,fuji.jpg
93,11,5,2,85,Honeycrisp,3,Poor,honeycrisp.jpg
56,11,5,3,85,Fuji,3,Average,fuji.jpg
33,11,6,1,86,Honeycrisp,4,Excellent,honeycrisp.jpg
64,11,6,2,86,Pink Lady,3.5,Average,pinkLady.jpg
53,11,6,3,86,Honeycrisp,2.5,Average,honeycrisp.jpg
31,11,7,1,87,Fuji,4,Excellent,fuji.jpg
46,11,7,2,87,Fuji,2,Average,fuji.jpg
72,11,7,3,87,Gala,1,Poor,gala.jpg
24,11,8,1,88,Pink Lady,3,Excellent,pinkLady.jpg
60,11,8,2,88,Red Delicious,3,Average,redDelicious.jpg
